"","CROP_ID","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","AvgMonths","averagesoilsuit","name","avgclimsoil","lon","lat"
"5",10001000006,100,100,100,100,100,100,100,100,100,100,100,100,100,79,"Brazil Nut",89.5,80.3968050010001,6.04347181300005
"51",10001000006,100,100,100,100,100,100,100,100,100,100,100,100,100,80.2,"Brazil Nut",90.1,80.6468050010001,6.04347181300005
"52",10001000006,100,100,100,100,100,100,100,100,100,100,100,100,100,86.8,"Brazil Nut",93.4,80.1468050010001,6.29347181300005
"53",10001000006,100,100,100,100,100,100,100,100,100,100,100,100,100,91.6,"Brazil Nut",95.8,80.3968050010001,6.29347181300005
"54",10001000006,100,100,100,100,100,100,100,100,100,100,100,100,100,85,"Brazil Nut",92.5,80.6468050010001,6.29347181300005
"4",10001000005,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"Belimbing Buluh",100,80.8968050010001,6.29347181300005
"41",10001000005,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"Belimbing Buluh",100,81.1468050010001,6.29347181300005
"42",10001000005,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"Belimbing Buluh",100,81.3968050010001,6.29347181300005
"55",10001000006,100,100,100,100,100,100,100,100,100,100,100,100,100,97.6,"Brazil Nut",98.8,80.1468050010001,6.54347181300005
"56",10001000006,100,100,100,100,100,100,100,100,100,100,100,100,100,89.8,"Brazil Nut",94.9,80.3968050010001,6.54347181300005
"57",10001000006,100,100,100,100,100,100,100,100,100,100,100,100,100,86.2,"Brazil Nut",93.1,80.6468050010001,6.54347181300005
"43",10001000005,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"Belimbing Buluh",100,80.8968050010001,6.54347181300005
"44",10001000005,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"Belimbing Buluh",100,81.1468050010001,6.54347181300005
"58",10001000006,100,100,100,100,100,100,100,100,100,100,100,100,100,94,"Brazil Nut",97,81.3968050010001,6.54347181300005
"45",10001000005,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"Belimbing Buluh",100,81.6468050010001,6.54347181300005
